"Name","CCID","Version","Authority","Target Format","Target Format Version","Target Format Part","Citation","Quote","Rule Clarity?","Definition"
"Missing header","OUTOFBAND-HEADER-MISSING",0,"FFV1 Specification","FFV1 >=2","all","Header","http://www.ffmpeg.org/~michael/ffv1.html","""Version 2 and later files use a global header""",,"If version is 2 or more, there should be a global header in the container private data"
"version","FFV1-HEADER-version",0,"FFV1 Specification","FFV1","all","Header","http://www.ffmpeg.org/~michael/ffv1.html","""version 0, 1 or 3""","Warning","Maximum known version is 3, analysis stops (note: doc sometimes indicates version 4)"
"version 2","FFV1-HEADER-version2",0,"FFV1 Specification","FFV1","all","Header","http://www.ffmpeg.org/~michael/ffv1.html","""Version 2 was never enabled in the encoder thus version 2 files should not exist""","Warning","Version 2 is forbidden, analysis stops"
"micro_version 2","FFV1-HEADER-micro_version",0,"FFV1 Specification","FFV1","all","Header","http://www.ffmpeg.org/~michael/ffv1.html","""For version 3, micro_version is 4, micro versions prior to this represent pre standard""","Warning","Not supported version, high risk of decoding issue"
"coder_type","FFV1-HEADER-coder_type",0,"FFV1 Specification","FFV1","all","Header","http://www.ffmpeg.org/~michael/ffv1.html","""0 (Golomb Rice), 1 (Range coder), 2 (Range coder with custom state transition table)""",,"coder_type >2 is not supported"
"state_transition_delta","FFV1-HEADER-state_transition_delta",0,"FFV1 Specification","FFV1","all","Header","http://www.ffmpeg.org/~michael/ffv1.html",,,"(To be defined)"
"colorspace_type","FFV1-HEADER-colorspace_type",0,"FFV1 Specification","FFV1","all","Header","http://www.ffmpeg.org/~michael/ffv1.html","""0 (YCbCr), 1 (JPEG2000_RCT)""",,"colorspace_type >1 is not supported"
"bits_per_raw_sample","FFV1-HEADER-bits_per_raw_sample",0,"FFV1 Specification","FFV1","all","Header","http://www.ffmpeg.org/~michael/ffv1.html","""commonly 8, 9, 10 or 16""","Are other values valid?",
"h_chroma_subsample","FFV1-HEADER-h_chroma_subsample-max",0,"Coherency","FFV1","all","Header",,,,"chroma subsampling factor can not be higher than slice width"
"h_chroma_subsample","FFV1-HEADER-h_chroma_subsample-int",0,"Coherency","FFV1","all","Header",,,,"width divided by chroma subsampling factor is not an integer"
"v_chroma_subsample","FFV1-HEADER-v_chroma_subsample-max",0,"Coherency","FFV1","all","Header",,,,"chroma subsampling factor can not be higher than slice height"
"v_chroma_subsample","FFV1-HEADER-v_chroma_subsample-int",0,"Coherency","FFV1","all","Header",,,,"height divided by chroma subsampling factor is not an integer"
"QuantizationTables ","FFV1-HEADER-QuantizationTables ",0,"Ffmpeg source code","FFV1","all","Header",,,,"QuantizationTables incoherency"
"initial_state_delta ","FFV1-HEADER- initial_state_delta ",0,"Ffmpeg source code","FFV1","all","Header",,,,"initial_state_deltas incoherency"
"ec","FFV1-HEADER- ec",0,"FFV1 Specification","FFV1","all","Header","http://www.ffmpeg.org/~michael/ffv1.html","""0(32bit CRC on the global header), 1(32bit CRC per slice and the global header)""",,"ec >1 is not supported"
"intra","FFV1-HEADER- intra",0,"FFV1 Specification","FFV1","all","Header","http://www.ffmpeg.org/~michael/ffv1.html","""intra 0(key and non key frames), 1(the video contains only key frames)""",,"intra >1 is not supported"
"crc_parity","FFV1-HEADER-crc_parity ",0,"FFV1 Specification","FFV1","all","Header","http://www.ffmpeg.org/~michael/ffv1.html","""32bit that are choosen so that the global header as a whole or slice as a whole has a crc""",,"CRC is wrong"
"end of header","FFV1-HEADER-END",0,"Coherency","FFV1","all","Header",,,,"Real header end is met before or after expected header end"
"slice x / y / width / height","FFV1-SLICE-slice_xywh",0,"Coherency","FFV1","all","Slice",,,,"Slices x/y and slices width/height are not coherant (areas are not sticked)"
"quant_table_index ","FFV1-SLICE-quant_table_index ",0,"Ffmpeg source code","FFV1","all","Slice",,,,"quant_table_index incoherency"
"picture_structure ","FFV1-SLICE-picture_structure ",0,"FFV1 Specification","FFV1","all","Slice","http://www.ffmpeg.org/~michael/ffv1.html","""0(unknown) 1(top field first) 2(bottom field first) 3(progressive)""",,"picture_structure >3 is not supported"
"sar_den","FFV1-SLICE-sar_den",0,"Coherency","FFV1","all","Slice","http://www.ffmpeg.org/~michael/ffv1.html","""0/0 when unknown ""","spec is not obvious","if num is not 0, den should be not 0"
"slice_size ","FFV1-SLICE-slice_size",0,"Coherency","FFV1","all","Slice",,,,"slice_size is bigger than frame size"
"error_status ","FFV1-SLICE-crc_parity ",0,"FFV1 Specification","FFV1","all","Slice","http://www.ffmpeg.org/~michael/ffv1.html","""0(no error), 1(slice contained a correctable error), 2(slice contains a uncorrectable error)""",,"error_status >2 is not supported"
"crc_parity","FFV1-SLICE-crc_parity ",0,"FFV1 Specification","FFV1","all","Slice","http://www.ffmpeg.org/~michael/ffv1.html","""32bit that are choosen so that the global header as a whole or slice as a whole has a crc""",,"CRC is wrong"
"end of slice","FFV1-SLICE-END",0,"Coherency","FFV1","all","Slice",,,,"Real slice end is met before or after expected slice end"
"end of frame","FFV1-FRAME-END",0,"Coherency","FFV1","all","Frame",,,,"Real frame end is met before or after expected frame end"
