Name,CCID,Version,Authority,Target Format,Target Format Version,Target Format Part,Citation,Quote,Rule Clarity?,Definition
Format Tag,BWF-LPCM-FMT,0,EBU BWAV v2 Specification,BWF,Version 2,Header,"EBU Tech 3285 v2, pg. 16","""If the <wFormatTag> field of the <fmt-ck> is set to WAVE_FORMAT_PCM, then the waveform data consists of samples represented in pulse code modulation (PCM) format.""",Inferred,"Format tag MUST equal ""WAVE_FORMAT_PCM"""
Bits Per Sample,BWF-LPCM-BPS,0,EBU BWAV v2 Specification,BWF,Version 2,Header,"EBU Tech 3285 v2, pg. 17","""The <nBitsPerSample> field specifies the number of bits of data used to represent each sample of each channel. If there are multiple channels, the sample size is the same for each channel.""",Inferred,(to be defined)
Average Bytes Per Second,BWF-LPCM-ABPS,0,EBU BWAV v2 Specification,BWF,Version 2,Header,"EBU Tech 3285 v2, pg. 17","""For PCM data, the <nAvgBytesPerSec> field of the ‘fmt’ chunk should be equal to the following formula rounded up to the next whole number: (nChannels x nSamplesPerSecond x nBitsPerSample) / 8""",Inferred,MUST equal (nChannels x nSamplesPerSecond x nBitsPerSample) / 8
Block Align,BWF-LPCM-BLK,0,EBU BWAV v2 Specification,BWF,Version 2,Header,"EBU Tech 3285 v2, pg. 17","""The <nBlockAlign> field should be equal to the following formula, rounded to the next whole number: (nChannels x nBitsPerSample)/8""",Inferred,"MUST equal (nChannels x nBitsPerSample)/8EBU        **Note: The above formulae do not always give the correct answer. Strictly speaking, the number of bytes per sample (nBitsPerSample/8) should be rounded first. Then this integer should be multiplied by <nChannels> (which is always an integer) to give <nBlockAlign>. This in turn should be multiplied by <nSamplesPerSecond> to give <nAvgBytesPerSec>]."
(To be continued),,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
