Name,CCID,Version,Authority,Target Format,Target Format Version,Target Format Part,Citation,Quote,Rule Clarity?,Definition,Regex Parameters,Regular Expression
Extension Test,MKV-EXT,0,Matroska Specification,Matroska,all,File name,http://www.matroska.org/node/2/revisions/153/view,,Inferred,"The file extension SHOULD be one of the following (MKV, MKA, MKS, MK3D, WEBM)",,
Extension Test MKV,MKV-EXT-MKV,0,Matroska Specification,Matroska,all,File name,http://www.matroska.org/node/2/revisions/153/view,,Inferred,"If the file extension is MKV, the file SHOULD contain at least one video track.",,
Extension Test MKA,MKV-EXT-MKA,0,Matroska Specification,Matroska,all,File name,http://www.matroska.org/node/7/revisions/214/view,,Inferred,"If the file extension is MKA, the file SHOULD contain at least one audio track and no other type of track, i.e. ""audio-only"".",,
Extension Test MKS,MKV-EXT-MKS,0,Matroska Specification,Matroska,all,File name,http://www.matroska.org/node/2/revisions/153/view,,Inferred,"If the file extension is MKS, the file SHOULD contain at least one subtitle track and no other type of track, i.e. ""subtitle-only"".",,
Extension Test MK3D,MKV-EXT-MK3D,0,Matroska Specification,Matroska,?,"File name, StereoMode element",http://www.matroska.org/node/2/revisions/153/view,,Inferred,If the file extension is MKV3D the file SHOULD contain at least one video track AND SHOULD contain at least one StereoMode element.,,
Level 0 Segment,MKV-LEVEL-0,0,Matroska Specification,Matroska,all,EBML Header,specdata.xml,"Inferred: EBML and Segment are the only level 0 elements, both are allowed to occur multiple times.",,"The EBML Header MUST be immediately followed by another EBML Header Element, 0x1A45DFA3, or a Segment Element, 0x18538067. {{Can global Elements exist at level 0?!}}",,
DocType,MKV-DOCT-KNOWN,0,Matroska Specification,Matroska,all,EBML Header,,,,"MUST equal either ""matroska"" or ""webm""",,
DocTypeVersion Limits,MKV-DOCTV-LIMIT,0,Matroska Specification,Matroska,all,EBML Header,,,Warning,"Values for DocTypeVersion and DocTypeReadVersion must be either 1, 2, 3, or 4.",,
Top Elements Coded on 4 Octets,MKV-TOP-ELEM-4CODE,0,Matroska Specification,Matroska,all,Matroska structure,http://www.matroska.org/technical/specs/index.html#block_structure,,"""All top-levels elements (Segment and direct sub-elements) are coded on 4 octets, i.e. class D elements.""","Note: this seems to contradict EBML rule to use most efficient element size, but perhaps this is an intention deviation of MKV to achieve top elements starting on mutiples of 4 octets. ?",,
Single Segment Composition,,0,Matroska Specification,Matroska,all,,specdata.xml,"""Typically a Matroska file is composed of 1 segment.""",,File MUST contain at least one segment.,,
Seek-Presence,MKV-SEEK-PRES,0,Matroska Specification,Matroska,all,Meta Seek Element,specdata.xml,,,File MUST contain at least one Seek element.,,
SeekID-Presence,MKV-SEEKID-PRES,0,Matroska Specification,Matroska,all,Meta Seek Element,specdata.xml,,,File MUST contain at least one SeekID element.,,
SeekID-Type,MKV-SEEKID-TYPE,0,Matroska Specification,Matroska,all,Meta Seek Element,specdata.xml,,,,,
